latitude,longitude,cluster,size
33.737938771477666,-84.44379359793814,85,123
33.70245576923077,-84.40906635164835,51,123
33.71366020283019,-84.3945815754717,91,87
33.86272242857143,-84.44123942857142,99,79
33.87965811494253,-84.34732786206897,21,76
33.73771025666667,-84.34982052,56,73
33.70544895600962,-84.4530308134375,77,69
33.743049444444445,-84.37850476023392,81,47
33.935142076844514,-84.29440377519818,44,45
33.75531113743219,-84.35221975406871,38,39
33.81844438362069,-84.45975990086207,15,39
33.82769186416185,-84.380584783237,90,28
33.75492606329114,-84.52122511392405,33,20
39.70648885628598,-104.84090559424327,34,1098
39.67944773282758,-104.77660445172414,0,1079
39.657317026434974,-104.80505548721973,59,1063
39.59688056717073,-104.69577166780488,48,954
39.71597099557196,-104.8033465800738,40,941
39.743000656128295,-104.876664734937,27,941
39.74728106285492,-104.76855744430577,15,900
39.75624672136296,-104.82401418192593,2,892
39.64529794651753,-104.77757488972189,81,880
39.68861782302703,-104.85870082013514,5,873
39.681609336379616,-104.81528043128296,97,849
39.729843258181816,-104.84069040117845,29,831
39.666891139981686,-104.75479892014653,18,829
39.636475705276595,-104.81698171446808,69,823
39.689922399612904,-104.70870357225806,8,820
39.66635110391546,-104.7854623785317,46,820
39.72445469895404,-104.86099471172741,21,813
39.729949568249594,-104.79603853857374,63,807
39.694203157963855,-104.79977630108434,35,778
39.717218903669064,-104.81951654352518,42,775
39.63186117484663,-104.79283558282208,96,766
39.684928234206645,-104.84426110492005,56,764
39.6889536324595,-104.77785805022091,68,741
39.69968030797143,-104.85400591242858,9,740
39.73197988102719,-104.81537212583082,92,728
39.6523433953,-104.82919534025,75,718
39.738890148527005,-104.84472331522095,38,716
39.64904135493092,-104.79678630393198,78,714
39.723548560134226,-104.74889606711409,99,713
39.642112746694714,-104.76764932055289,23,700
39.681459131573604,-104.75747386835872,50,694
39.76089828145729,-104.80501711105528,22,684
39.589913358989364,-104.72860112074468,88,683
39.80106576397059,-104.75915647058824,7,675
39.71072796649362,-104.81267675664846,66,668
39.723045584594594,-104.85054503281853,39,668
39.678245146601945,-104.80229746524272,49,664
39.69944596679245,-104.8632334172956,65,663
39.73481238263967,-104.75715926592179,24,662
39.73343532612275,-104.87016833233533,90,661
39.710934478968085,-104.83093041489361,58,658
39.58652305278169,-104.71143706830986,89,655
39.653308373667954,-104.78715521248391,71,650
39.628446861580755,-104.77250447972509,77,641
39.5920522806422,-104.67639369633028,6,641
39.73800137902543,-104.78151126716102,16,631
39.6683729227582,-104.80570703365736,47,630
39.669729565605095,-104.79680932738853,93,623
39.68924475698113,-104.76755437966457,17,617
39.75977103683735,-104.84190334834338,26,615
39.65810524407781,-104.81484338083574,85,600
39.6154415175,-104.70766595416667,57,594
39.682103417298386,-104.78683850604838,11,594
39.74837473728953,-104.85172257474332,91,591
39.634219781605694,-104.80225832174797,30,591
39.66764198454887,-104.8456800443609,10,569
39.746716052643976,-104.85985427840315,41,568
39.703522087121215,-104.80062081700336,72,562
39.657357484036694,-104.75512741223241,86,553
39.7195343855127,-104.83198288946379,94,548
39.61045199201058,-104.67660112063493,12,547
39.66043725595455,-104.76685498886364,70,538
39.71470750918919,-104.69668960540541,84,533
39.68961654741016,-104.81546569962825,36,519
39.73308528578189,-104.86226547633746,76,495
39.7420067219457,-104.79915039004526,52,492
39.68535702494012,-104.7954401739521,54,492
39.746407234827586,-104.83027482448276,20,489
39.730040664925774,-104.80729032887989,95,488
39.6912397609842,-104.84794647788578,53,487
39.699916231171,-104.79207498884759,64,486
39.71759509892308,-104.85700347538462,45,472
39.75850090039146,-104.83296449679715,13,470
39.729304808797465,-104.78058284620253,74,441
39.732712107278914,-104.85467159909297,61,440
39.6601867601385,-104.79494725720221,1,438
39.6884155309697,-104.83775269636364,83,420
39.733639171591264,-104.87885190920437,25,400
39.72419821680672,-104.87182402254902,80,348
39.701127080260115,-104.81467546705203,79,346
39.67862308316092,-104.86488346695403,98,340
39.70774827083996,-104.85946598671964,37,318
39.65583181146758,-104.7441329883959,73,316
39.64787610014286,-104.82101601095238,82,293
39.62860192540338,-104.8157938934334,43,291
39.62869025445,-104.78492502083333,67,290
39.73914140596745,-104.76423761356239,87,279
39.74975441896057,-104.8120192139785,19,278
39.643056305739385,-104.7898400181552,4,271
39.645214327511454,-104.80540307007634,55,266
39.67228117183056,-104.81805440711044,3,205
39.68151950568528,-104.85248573451777,31,199
39.720114458188014,-104.8422773393733,60,189
39.69719959346645,-104.78160548913738,32,188
39.64413990620626,-104.7586706519337,14,155
39.73183694291581,-104.83266233963039,28,149
39.70199705575718,-104.83336626057441,51,120
39.70710312098707,-104.84972938695653,44,109
39.74304102532353,-104.7532571882353,62,74
39.748861732286116,-104.86864313295932,33,68
30.274166163448275,-97.74932481367816,24,161
30.26634204784314,-97.73764927882353,57,156
30.28126586047619,-97.74506745357142,66,153
30.265923778142856,-97.74818932571428,11,126
30.278800695576923,-97.73630074846153,22,117
30.258292312676055,-97.73886227661971,56,116
30.2752273772093,-97.74482935453489,97,114
30.26521581088889,-97.74074381777778,30,110
30.273030248045977,-97.73761955,61,109
30.281237743513515,-97.749869195,12,107
30.267335464464285,-97.75523483160714,50,106
30.270552523492064,-97.74668452087302,29,105
30.2768528,-97.74523621084113,83,103
30.269353161935484,-97.74054696935484,20,101
30.278068877468353,-97.74276443189873,27,100
30.270881850909092,-97.75099000515152,37,100
30.263800269875,-97.74443836975,70,94
30.28286479203125,-97.75079099828125,25,93
30.2554682775,-97.7394653934375,45,93
30.26217327153846,-97.74162445846154,93,92
30.27180926841584,-97.73409434752475,92,92
30.28268246402439,-97.74735627865854,39,92
30.271527135726494,-97.7492453159829,54,90
30.26830066490196,-97.74276599745097,72,88
30.280937099378882,-97.74811884068323,60,87
30.27114679172043,-97.74786227150538,0,87
30.275107240535714,-97.73736430714285,8,87
30.28032363,-97.7400813217,6,86
30.26255927051282,-97.73776716820512,47,86
30.272554612761905,-97.74641479533334,63,85
30.278901356636364,-97.74796136872727,2,84
30.273610928965518,-97.75180990775861,79,82
30.27718887025641,-97.75029893807692,21,82
30.2674329952459,-97.74962590852459,86,80
30.27595778662162,-97.74241262378378,16,80
30.26879948986842,-97.75139869605263,78,80
30.275687553,-97.73291877066667,89,79
30.2744393624,-97.7472276605,81,79
30.26237828474576,-97.74340027694916,14,79
30.27817496869565,-97.74615008673914,87,78
30.27004405625,-97.73625299285715,32,78
30.271395126393443,-97.74504346836065,91,77
30.27741599346667,-97.73946879106667,51,76
30.269146861774193,-97.74554146403226,35,76
30.26019668432836,-97.73818506597014,75,76
30.26461449387097,-97.73734164365591,65,75
30.267617297666668,-97.741205196,42,75
30.280205569069768,-97.74204919023256,58,74
30.268561729555557,-97.73826825733333,9,74
30.266150980757576,-97.75416732545455,34,72
30.27559602716981,-97.74649291141509,77,72
30.265865177763157,-97.74386953447369,5,71
30.276711724264707,-97.7437768989706,85,71
30.27149681477273,-97.753313765,3,70
30.26585861611111,-97.73927083011111,88,70
30.27053918617021,-97.74218357531915,52,68
30.26481474663793,-97.74588850198276,44,67
30.282763506794872,-97.74861846891025,49,66
30.27139366945946,-97.73690461540541,15,66
30.276828951346154,-97.73746850250001,17,64
30.27541384908046,-97.75070812735632,90,62
30.279908623944955,-97.7441409538532,43,62
30.27276306779661,-97.7436207598305,13,62
30.26524413929412,-97.74724711658824,41,61
30.259354847027026,-97.74106951405406,33,61
30.272846893066667,-97.74952526786667,46,60
30.280172626993465,-97.74662577810457,62,60
30.269466008108108,-97.73440266513514,38,59
30.27211364952381,-97.7413429297619,31,58
30.269151487659574,-97.74402779212765,84,57
30.271345632340427,-97.73965055276595,10,56
30.268287765490197,-97.73658309725491,40,56
30.266166416931817,-97.73594032522728,26,56
30.253476006444444,-97.73768462155556,99,54
30.275488240869564,-97.73578804565217,4,52
30.278022596578946,-97.74084454960526,59,52
30.266003737555554,-97.74217505311111,19,52
30.26902324597222,-97.74951607972223,71,51
30.27536370725,-97.748987747,23,51
30.273132023902438,-97.75053737475609,1,51
30.265378381875,-97.7518556771875,95,48
30.279140169113923,-97.73882269126582,69,47
30.2570368056,-97.74074298720001,55,47
30.277350120291263,-97.74753112873786,74,46
30.273025718596493,-97.73577809052631,73,45
30.26435689943662,-97.74228078464789,76,45
30.2742313965,-97.7455646735,7,45
30.282030609871796,-97.74599767641025,48,45
30.269781515428573,-97.74752711742858,98,44
30.27845892772152,-97.7444142921519,53,44
30.267890135,-97.74729028548387,68,42
30.27453765223684,-97.74311973039474,28,39
30.283447044347827,-97.7498588675,67,37
30.281252250978262,-97.74342610576088,64,37
30.256358703809525,-97.7380551757143,96,34
30.261013869375,-97.739765245625,80,32
30.263462173529412,-97.74089820117646,18,32
