Date,Value,Anomaly
200812,39.1,3.7
200901,33.8,-0.4
200902,34.8,-1.6
200903,45.6,2.7
200904,48.6,-1.5
200905,62.2,3.9
200906,68,2.2
200907,67.3,-1.5
200908,68.1,0.1
200909,66.6,3.7
200910,52.9,2
200911,41.2,0.3
200912,35.5,0.1
201001,29.2,-5
201002,30.3,-6.1
201003,39.7,-3.2
201004,49.7,-0.4
201005,62.3,4
201006,70.1,4.3
201007,71.9,3.1
201008,72.6,4.6
201009,63.1,0.2
201010,48.4,-2.5
201011,42.3,1.4
201012,28.9,-6.5
201101,30.2,-4
201102,37.2,0.8
201103,45.6,2.7
201104,52.6,2.5
201105,56.8,-1.5
201106,68.5,2.7
201107,71.4,2.6
201108,69.4,1.4
201109,60.9,-2
201110,46.6,-4.3
201111,43.1,2.2
201112,38.4,3
201201,38,3.8
201202,41.8,5.4
201203,52.8,9.9
201204,52.4,2.3
201205,61.4,3.1
201206,65.3,-0.5
201207,70.9,2.1
201208,68.3,0.3
201209,61.9,-1
201210,50,-0.9
201211,37,-3.9
201212,40,4.6
201301,40.3,6.1
201302,37.2,0.8
201303,37.2,-5.7
201304,50,-0.1
201305,56.8,-1.5
201306,68.2,2.4
201307,69.2,0.4
201308,68.6,0.6
201309,63.8,0.9
201310,53.5,2.6
201311,40,-0.9
201312,37.6,2.2
201401,24.7,-9.5
201402,35.9,-0.5
201403,39.6,-3.3
201404,50.1,0
201405,58.2,-0.1
201406,67.9,2.1
201407,67.2,-1.6
201408,67.9,-0.1
201409,65.7,2.8
201410,52,1.1
201411,35.3,-5.6
201412,39.8,4.4
201501,32.5,-1.7
201502,30,-6.4
201503,46.8,3.9
201504,55.5,5.4
201505,60,1.7
201506,68.2,2.4
201507,71.2,2.4
201508,68.2,0.2
201509,63.6,0.7
201510,53.4,2.5
201511,49.1,8.2
201512,47,11.6
201601,32.6,-1.6
201602,38.2,1.8
201603,47.9,5
201604,51.3,1.2
201605,58.5,0.2
201606,67.5,1.7
201607,71.1,2.3
201608,71.7,3.7
201609,66.3,3.4
201610,53.6,2.7
201611,42.6,1.7
201612,39.6,4.2
201701,42,7.8
201702,43.3,6.9
201703,46.1,3.2
201704,54,3.9
201705,57.9,-0.4
201706,66.8,1
201707,70.5,1.7
201708,69.4,1.4
201709,62.4,-0.5
201710,54.4,3.5
201711,43.1,2.2
201712,37,1.6
201801,29,-5.2
201802,47.9,11.5
201803,43.2,0.3
201804,46.2,-3.9
201805,62.7,4.4
201806,68.7,2.9
201807,70.8,2
201808,69.4,1.4
201809,69.6,6.7
201810,56.7,5.8
201811,40.1,-0.8
201812,40,4.6
201901,36.5,2.3
201902,46.2,9.8
201903,43.1,0.2
201904,50.8,0.7
201905,62.5,4.2
201906,67.4,1.6
201907,70.2,1.4
