tree_type,latitude,longitude,size
Littleleaf linden,42.84630254270903,-78.81496788557413,897
Littleleaf linden,42.88610017173317,-78.85198428981296,834
Littleleaf linden,42.94397799715827,-78.82046005023982,802
Littleleaf linden,42.91282239042386,-78.84731425277865,699
Littleleaf linden,42.91959788231056,-78.88251734954036,637
Littleleaf linden,42.917493990686694,-78.817034080701,538
Littleleaf linden,42.89902340739234,-78.8810583986284,433
London planetree,42.90460611388889,-78.887290225,290
London planetree,42.90535174051724,-78.82417233247126,183
London planetree,42.906519989689656,-78.85039491348276,175
London planetree,42.846422194521736,-78.81750324078261,174
London planetree,42.9353763258427,-78.8767544047191,115
London planetree,42.93502184639344,-78.81071522770492,89
London planetree,42.887855132628566,-78.86926668845715,86
London planetree,42.89033162060241,-78.80444350253012,83
London planetree,42.891235961038255,-78.84730579289618,72
London planetree,42.94104547546512,-78.84822066046512,61
Red maple,42.93355524600629,-78.86272980597485,400
Red maple,42.85600134958904,-78.84546227917808,365
Red maple,42.89669606909589,-78.88382719663014,318
Red maple,42.952516013122676,-78.90207547156133,296
Red maple,42.90029435119048,-78.81126650871428,280
Red maple,42.944367402573526,-78.81772256066176,269
Red maple,42.89664357106666,-78.84583485946666,210
Red maple,42.95116551496429,-78.84951229210714,150
Red maple,42.91716559587837,-78.8844962768581,136
Red maple,42.845287155200005,-78.810092676275,73
Callery pear,42.938839781260505,-78.82060400306723,238
Callery pear,42.92754768379629,-78.87285434175926,151
Callery pear,42.882914040137926,-78.87329056351724,150
Callery pear,42.90461754754238,-78.81303907508475,146
Callery pear,42.9107206802985,-78.85158834343284,145
Callery pear,42.94735328828571,-78.85830037742856,118
Callery pear,42.88579830986755,-78.84199348536423,108
Callery pear,42.94395899479452,-78.89817775123288,105
Callery pear,42.85303993525773,-78.8145466797938,97
Callery pear,42.90626208253333,-78.88780017466667,67
Pin oak,42.86045561090909,-78.82682735818182,53
Pin oak,42.93129510375,-78.872339445,37
Pin oak,42.90570056754717,-78.84066240433962,35
Pin oak,42.95761197837838,-78.90794647297297,33
Pin oak,42.83474418642857,-78.81742942285715,14
Pin oak,42.93595699428572,-78.85691270199999,13
Pin oak,42.898642078461535,-78.88443153076923,11
Pin oak,42.84655416121212,-78.80291645484849,9
Pin oak,42.95629168777778,-78.86247270111112,8
Pin oak,42.928747182500004,-78.821265015,4
Green ash,42.85083619378788,-78.81142658378788,106
Green ash,42.92802592701299,-78.8759166777922,102
Green ash,42.95264569705883,-78.90617303617647,96
Green ash,42.899809955,-78.83635384052631,77
Green ash,42.87971075830509,-78.86914700152542,76
Green ash,42.905497360937495,-78.8804867159375,66
Green ash,42.94579995372549,-78.83574759019608,59
Green ash,42.914595705517236,-78.80958562068965,56
Green ash,42.83077303535714,-78.82811298125,51
Green ash,42.93845847566038,-78.85800949716982,29
Live oak,26.64158896533565,-81.9708903422801,971
Live oak,26.599439316701027,-82.01691877992636,864
Live oak,26.676001703396828,-81.94538404657143,679
Live oak,26.564075173816512,-81.98976569576146,635
Live oak,26.563680377442747,-81.94954558725192,620
Live oak,26.6383590807947,-82.0350516950331,545
Live oak,26.6771383711811,-82.01971866050394,453
Live oak,26.720473169403228,-81.92709563348387,383
Live oak,26.609980722986613,-81.98064829446962,315
Live oak,26.624872384699742,-81.92758528206267,262
Red maple,26.674603662666666,-81.94192223166667,48
Red maple,26.587379019000004,-82.003049305,30
Red maple,26.63386155,-81.960655898,20
Red maple,26.66347148,-82.0066825325,10
Red maple,26.568781205,-81.94888965999999,8
Red maple,26.68935921375,-81.94272986541667,7
Red maple,26.62644534875,-81.92362521875,6
Red maple,26.63003423666667,-82.02278621166667,4
Red maple,26.62524673142857,-81.98671868,3
Red maple,26.547822873333335,-81.98162925,2
Crape myrtle,26.639633246052632,-82.03914399210525,96
Crape myrtle,26.60488332310811,-81.97753933999999,89
Crape myrtle,26.632265774269666,-81.95850438606742,74
Crape myrtle,26.557278298205127,-81.95301872743589,52
Crape myrtle,26.609249021333333,-82.02705767511111,47
Crape myrtle,26.64387031673077,-81.978527705,45
Crape myrtle,26.6040627065625,-81.96112421447917,39
Crape myrtle,26.647175479411764,-81.9284376582353,38
Crape myrtle,26.60759889744681,-82.0015487074468,17
Crape myrtle,26.678177966666667,-82.02027352333333,6
Littleleaf linden,38.83133439029412,-104.79854235882352,63
Littleleaf linden,38.79771546185185,-104.73679677777778,34
Littleleaf linden,38.858580735000004,-104.81390921666666,30
Littleleaf linden,38.898838436666665,-104.77213526666667,27
Littleleaf linden,38.87758873,-104.698051,25
Littleleaf linden,38.961852495,-104.77184365,5
Littleleaf linden,38.8547006668254,-104.82495952539682,3
Littleleaf linden,38.802140098,-104.81229083999999,3
Littleleaf linden,38.85191229666666,-104.74634160000001,2
Littleleaf linden,38.7956111664,-104.74839623199999,1
Green ash,38.82708515565217,-104.79919522512077,721
Green ash,38.85670116707351,-104.82071835131761,443
Green ash,38.79609754029345,-104.74633584221219,414
Green ash,38.911152787666666,-104.72895664,114
Green ash,38.950442527199996,-104.76889106799999,44
Green ash,38.83964043385965,-104.82528468157895,33
Green ash,38.84805808886364,-104.7511475659091,30
Green ash,38.90316973090909,-104.77199738484849,25
